iteration	vector	severity	owasp	stride	confidence	location	description
0	baseline	-	-	-	-	-	govulncheck: 0 exploitable, 4 advisory in unused code (edwards25519@v1.1.0 GO-2026-4503; x/image@v0.35.0 GO-2026-4815, GO-2026-4961, GO-2026-4962)
1	regression-cmd-start	Fixed	A03	EoP	Confirmed	pkg/export/github.go:610;pkg/export/cloudflare.go:347	prior Finding 1: cmd /c start replaced with rundll32 url.dll,FileProtocolHandler — fixed
2	regression-hooks-rce	Medium	A05	EoP	Confirmed	pkg/hooks/executor.go:121	prior Finding 2: still by-design shell exec; --no-hooks flag added (partial). Recurring as Medium with reduced impact.
3	regression-bql-recursion	Fixed	A04	DoS	Confirmed	pkg/bql/parser.go:130-134;pkg/bql/memory_executor.go:53-58	prior Finding 3: maxParseDepth=100 + maxEvalDepth=100 fail-closed — fixed
4	regression-bql-datetosql	Fixed	A03	Tampering	Confirmed	pkg/bql/sql.go:222-230	prior Finding 4: now parameterized with ? placeholders — fixed
5	regression-git-arg-injection	Medium	A03	Tampering	Confirmed	pkg/correlation/incremental.go:200,226;pkg/correlation/cocommit.go;pkg/correlation/reverse.go;pkg/correlation/temporal.go	prior Finding 5: still no SHA validation, no --end-of-options on most sites; only pkg/loader/git.go:156 uses --end-of-options — recurring Medium
6	regression-fieldToColumn	Low	A03	Tampering	Confirmed	pkg/bql/sql.go:175-187	prior Finding 6: still concatenates "i."+field for unknown fields. Validator upstream gates production paths; SQLBuilder still self-unsafe — recurring Low (latent)
7	regression-dbname-interp	Low	A03	Tampering	Likely	internal/datasource/global_dolt.go:337,350,367,384,422	prior Finding 7: still uses backtickQuote+escapeSQLString string-escape; no regex validation as recommended — recurring Low
8	regression-bql-in-unbounded	Low	A04	DoS	Confirmed	pkg/bql/parser.go:213-247	prior Finding 8: IN list still has no cap; unbounded values slice — recurring Low
9	regression-tar-no-limit	Low	A08	DoS	Confirmed	pkg/updater/updater.go:548	prior Finding 9: io.Copy still has no LimitReader; mitigated by SHA256+host-pin but defense-in-depth still missing — recurring Low
10	regression-dsn-error-leak	Low	A05	InfoDisc	Confirmed	internal/datasource/load.go:159;dolt.go:40	prior Finding 10: error wrapped with %w still surfaces source.Path (DSN) up the stack to status bar — recurring Low
11	regression-grep-quotemeta	Low	A03	Tampering	Confirmed	pkg/correlation/explicit.go:233	prior Finding 11: --grep= still passes pattern unescaped; extractor.go:157 correctly QuoteMeta. Inconsistent — recurring Low
12	regression-error-swallow	Low	A05	Repudiation	Confirmed	cmd/bt/root.go:170;pkg/hooks/config.go:93;pkg/recipe/loader.go:74	prior Finding 12: 3 sites still discard errors. asOfResolved silently empty causes wrong --as-of data — recurring Low
